Ticker, Shares
GOOG,   0
AAPL,   0.372465
MSFT,   0.183813
BRK.B,  0.062461
AMZN,   0.207421
V,      0.287576
TSM,    0.586199
SONY,   0.079291
ORCL,   0
SPOT,   0
AMD,    0
INTC,   0
NVDA,   0.150863
XOM,    0
D,      0
TCEHY,  0
CSCO,   0
DIS,    0
DAL,    0
KO,     2
WMT,    0
BA,     0
NKE,    0
SOFI,   0
JPM,    0
WAB,    0
CNQ,    0
CVX,    0
JNJ,    0
LMT,    0
BAC,    0
WFC,    0
SBUX,   0
GPC,    0
MCD,    0
MMM,    0
CAT,    0
VOO,    0
GOOG,   0
VNQ,    0
NDX,    0
DIA,    0
SPY,    0
VYM,    0
